Museum Name,Museum Type,Latitude,Longitude,Income,Revenue,State
MARIE DRAKE PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,58.36674,-134.61082,0.0,0.0,AK
MAXINE & JESSE WHITNEY MUSEUM,GENERAL MUSEUM,61.10482,-146.21652,0.0,0.0,AK
MCCARTHY-KENNICOTT HISTORICAL MUSEUM,HISTORIC PRESERVATION,62.1077,-145.52846,0.0,0.0,AK
MCKINLEY HISTORICAL SOCIETY & MUSEUM,HISTORIC PRESERVATION,61.1804,-149.87975,0.0,0.0,AK
MURIE SCIENCE AND LEARNING CENTER,GENERAL MUSEUM,63.62586,-150.90305,0.0,0.0,AK
MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY,HISTORY MUSEUM,61.58414,-149.44139,87442.0,67641.0,AK
MUSEUM OF THE ALEUTIANS,GENERAL MUSEUM,53.87139,-166.54126,638447.0,609946.0,AK
MUSEUM OF THE NORTH,GENERAL MUSEUM,64.81712,-147.87837,0.0,0.0,AK
MUSEUMS ALASKA,GENERAL MUSEUM,59.66896,-151.48517,433429.0,433429.0,AK
MUSK OX FARM & MUSEUM,GENERAL MUSEUM,61.60024,-149.12756,0.0,0.0,AK
NATIONAL ARCHIVES AT ANCHORAGE,GENERAL MUSEUM,61.21905,-149.89451,0.0,0.0,AK
NEW YORK ALASKA HOUSE,ART MUSEUM,61.13325,-149.94851,50.0,50.0,AK
OCEANSALASKA,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",55.35076,-131.67274,892091.0,534898.0,AK
OSCAR ANDERSON HOUSE,HISTORIC PRESERVATION,61.22198,-149.88169,133637.0,133637.0,AK
PALMER HISTORICAL SOCIETY,HISTORIC PRESERVATION,61.59873,-149.11008,0.0,0.0,AK
PALMER MUSEUM OF HISTORY AND ART,GENERAL MUSEUM,61.59857,-149.11359,161428.0,144442.0,AK
PELELIO WAR HISOTIRCAL SOCIETY,HISTORIC PRESERVATION,61.68606,-149.22797,0.0,0.0,AK
PIONEER MEMORIAL PARK,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",64.83685,-147.76725,0.0,0.0,AK
PIONEERS OF ALASKA,HISTORIC PRESERVATION,64.49805,-165.41115,587933.0,29269.0,AK
PRATT MUSEUM,ART MUSEUM,59.6447,-151.5504,65544.0,65544.0,AK
PRIBILOF ALEUTS,GENERAL MUSEUM,61.14654,-149.87117,0.0,0.0,AK
RESURRECTION BAY HISTORICAL SOCIETY,HISTORIC PRESERVATION,60.20885,-149.38716,0.0,0.0,AK
RIO GRANDE MODELING & HISTORICAL SOCIETY,HISTORIC PRESERVATION,38.89506,-104.75644,31028.0,28358.0,AK
RUSSIAN ORTHODOX MUSEUM,HISTORIC PRESERVATION,61.19955,-149.73354,349281.0,349281.0,AK
RUSSIAN ORTHODOX SACRED SITES IN ALASKA,HISTORIC PRESERVATION,61.19955,-149.73354,349281.0,349281.0,AK
SAMUEL FOX MUSEUM,GENERAL MUSEUM,59.04004,-158.45869,0.0,0.0,AK
SAXMAN,HISTORIC PRESERVATION,55.38073,-131.68901,0.0,0.0,AK
SEALASKA HERITAGE INSTITUTE,GENERAL MUSEUM,58.30039,-134.40814,7870397.0,7812834.0,AK
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",60.20885,-149.38716,9601562.0,9469200.0,AK
SEWARD COMMUNITY LIBRARY,GENERAL MUSEUM,60.20885,-149.38716,25020.0,20137.0,AK
SEWARD MUSEUM,GENERAL MUSEUM,60.20885,-149.38716,0.0,0.0,AK
SHELDON JACKSON MUSEUM,NATURAL HISTORY MUSEUM,57.05064,-135.32213,85605.0,49871.0,AK
SHELDON MUSEUM AND CULTURAL CENTER,HISTORY MUSEUM,59.24675,-135.47365,323889.0,323889.0,AK
SIMON PANEAK MEMORIAL MUSEUM,GENERAL MUSEUM,68.24085,-151.89265,0.0,0.0,AK
SITKA HISTORICAL SOCIETY,HISTORIC PRESERVATION,57.04922,-135.34093,186233.0,160043.0,AK
SITKA MARITIME HERITAGE SOCIETY,HISTORY MUSEUM,57.06019,-135.33625,36802.0,34039.0,AK
SITKA NATIONAL HISTORICAL PARK,HISTORIC PRESERVATION,57.04892,-135.31966,0.0,0.0,AK
SITKA SOUND SCIENCE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",57.04983,-135.32401,1958626.0,1923217.0,AK
SKAGWAY HISTORICAL MUSEUM & ARCHIVES,HISTORIC PRESERVATION,59.45637,-135.31356,0.0,0.0,AK
SOLDOTNA HISTORICAL SOCIETY,HISTORIC PRESERVATION,60.49083,-151.0738,15193.0,15193.0,AK
SOLDOTNA HISTORICAL SOCIETY AND MUSEUM,HISTORIC PRESERVATION,60.4771,-151.0871,15193.0,15193.0,AK
STORIS MUSEUM,GENERAL MUSEUM,58.29323,-134.43055,0.0,0.0,AK
STUDENT UNION GALLERY,ART MUSEUM,64.81712,-147.87837,0.0,0.0,AK
TALKEETNA HISTORICAL SOCIETY,HISTORIC PRESERVATION,62.1755,-149.90017,85074.0,78315.0,AK
TANANA YUKON HISTORICAL SOCIETY,HISTORIC PRESERVATION,64.84339,-147.71869,19338.0,18705.0,AK
TENAKEE HISTORICAL COLLECTION,HISTORIC PRESERVATION,57.77996,-135.21791,0.0,0.0,AK
THOMAS PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,61.21608,-149.8853,0.0,0.0,AK
TOCHAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,62.91264,-154.94429,0.0,0.0,AK
TONGASS HISTORICAL SOCIETY,HISTORIC PRESERVATION,55.34242,-131.64029,0.0,0.0,AK
TOTEM HERITAGE CENTER,GENERAL MUSEUM,55.34301,-131.63255,0.0,0.0,AK
TREADWELL HISTORIC PRESERVATION & RESTORATION SOCIETY,HISTORIC PRESERVATION,58.27846,-134.3996,0.0,0.0,AK
UAA PLANETARIUM AND VISUALIZATION THEATER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,64.81712,-147.87837,0.0,0.0,AK
UNALASKA HISTORIC PRESERVATION COMMISSION,HISTORIC PRESERVATION,53.87139,-166.54126,0.0,0.0,AK
VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE,HISTORIC PRESERVATION,61.10482,-146.21652,0.0,0.0,AK
VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION,HISTORY MUSEUM,61.10482,-146.21652,678148.0,645570.0,AK
WASILLA-KINK HISTORICAL SOCIETY,HISTORIC PRESERVATION,61.58245,-149.43945,39167.0,36901.0,AK
WESTERN ARCTIC NATIONAL PARKLANDS,HISTORIC PRESERVATION,66.8985,-162.59957,0.0,0.0,AK
WESTERN HISTORY ASSOCIATION,HISTORIC PRESERVATION,64.81712,-147.87837,336681.0,224685.0,AK
WHALE PROJECT,HISTORIC PRESERVATION,58.37524,-134.7312,327481.0,327481.0,AK
WHITESTONE FARMS,HISTORIC PRESERVATION,64.10761,-145.7709,357970.0,193187.0,AK
WHITTIER MUSEUM ASSOCIATION,HISTORY MUSEUM,60.77,-148.68,0.0,0.0,AK
WRANGELL MUSEUM,GENERAL MUSEUM,56.47183,-132.38707,0.0,0.0,AK
WRANGELL-ST. ELIAS NATIONAL PARK,HISTORIC PRESERVATION,61.92025,-145.38294,0.0,0.0,AK
YUKON-CHARLEY RIVERS NATIONAL PRESERVE,HISTORIC PRESERVATION,64.84911,-147.83878,0.0,0.0,AK
YUPIIT PICIRYARAIT MUSEUM,GENERAL MUSEUM,60.78536,-161.80052,0.0,0.0,AK
81ST ARMY RESERVE COMMAND HISTORICAL HOLDING,GENERAL MUSEUM,33.43981,-86.84269,0.0,0.0,AL
9TH AND 10TH (HORSE) CAVALRY ASSOCIATION,HISTORIC PRESERVATION,33.5128,-86.81171,0.0,0.0,AL
A.M. BROWN HOUSE,HISTORIC PRESERVATION,33.49719,-86.82681,0.0,0.0,AL
AFRICAN AMERICAN HERITAGE TRAIL,GENERAL MUSEUM,30.68582,-88.04614,0.0,0.0,AL
AIR FORCE ENLISTED HERITAGE RESEARCH INSTITUTE/HERITAGE HALL,HISTORY MUSEUM,32.40461,-86.25406,0.0,0.0,AL
AIRCRAFT ENGINE HISTORICAL SOCIETY,HISTORIC PRESERVATION,34.75203,-86.63848,0.0,0.0,AL
ALABAMA AGRICULTURAL MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,31.27931,-85.37361,0.0,0.0,AL
ALABAMA ARCHAEOLOGICAL SOCIETY,HISTORY MUSEUM,32.41318,-87.02711,0.0,0.0,AL
ALABAMA BENCH AND BAR HISTORICAL SOCIETY,HISTORIC PRESERVATION,32.37375,-86.31101,0.0,0.0,AL
ALABAMA CATTLEMAN'S ASSOCIATION MUSEUM�,GENERAL MUSEUM,32.37535,-86.30106,0.0,0.0,AL
ALABAMA CENTER FOR AMERICAN HISTORY,HISTORY MUSEUM,33.35966,-86.59573,312533.0,312533.0,AL
ALABAMA CENTER FOR TRADITIONAL CULTURE,GENERAL MUSEUM,32.37878,-86.30628,0.0,0.0,AL
ALABAMA CENTER OF MILITARY HISTORY,HISTORIC PRESERVATION,34.69017,-86.58225,64159.0,64159.0,AL
ALABAMA CITY HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,33.99526,-86.08196,0.0,0.0,AL
ALABAMA COMPANY JAMESTOWNE SOCIETY,HISTORIC PRESERVATION,34.6575,-86.52653,0.0,0.0,AL
ALABAMA CONSTITUTION VILLAGE,HISTORIC PRESERVATION,34.72664,-86.57223,1101454.0,806811.0,AL
ALABAMA CONSTITUTION VILLAGE FOUNDATION,GENERAL MUSEUM,34.72861,-86.58469,1101454.0,806811.0,AL
ALABAMA DEPARTMENT OF ARCHIVES AND HISTORY,HISTORIC PRESERVATION,32.37771,-86.291,0.0,0.0,AL
ALABAMA FAN CLUB AND MUSEUM,GENERAL MUSEUM,34.43359,-85.72543,0.0,0.0,AL
